Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2001,"SEA",162,2043,6474,169,927,881,174,0.094840902,0.152764905,0.15721831,0.319686411,0.288204225,0.359943977,0.445422535,0.3472184318083304,,115.54864294954687,16.18166671541985,142.97010449438267,84.58775785751641,44.42846753939166
2019,"HOU",162,2309,6394,288,920,891,67,0.100875821,0.182358461,0.221450205,0.296489563,0.274006769,0.352452593,0.495456974,0.35467182551256,,124.17677254329935,-3.0819759769074153,194.23348714770498,19.72504809126258,43.25197071955631
2023,"ATL",162,2278,6249,307,947,916,132,0.086093775,0.206273003,0.225120601,0.305637982,0.275683401,0.343955164,0.500804002,0.3593280624577319,,125.318689958552,9.447595031000674,205.2017428111497,-7.3657374028116465,40.89977232149454
1998,"ATL",162,1971,6217,215,826,794,98,0.088145407,0.170821939,0.181254559,0.299553256,0.27151714,0.34174947,0.452771699,0.3456759432502279,,107.75825000201147,0.8085190653509926,61.701163468001376,124.61656150594354,37.55451368894538
2022,"LAD",162,2326,6247,212,847,812,98,0.097166639,0.219945573,0.185124864,0.302028549,0.256605139,0.333386735,0.441730003,0.33656048353078666,,119.13644853158553,8.987058648373932,147.8154976128837,-5.763110104948282,37.47926924303486
1996,"SEA",161,1736,6518,245,993,954,90,0.102792267,0.161399202,0.196894848,0.31158275,0.286697247,0.36624942,0.483592095,0.3674232220311458,,112.24567612366177,-1.2061007368611172,109.50192806208427,33.095749229192734,37.05817650557527
2011,"NYY",162,2301,6306,222,867,836,147,0.099429115,0.180463051,0.181043856,0.292230933,0.263138818,0.34338118,0.444182674,0.344564798323293,,113.00929808902356,6.574475489323959,101.56747447479901,40.17607791349292,36.93320409900368
2011,"BOS",162,2269,6414,203,875,842,102,0.090115372,0.172747115,0.18056042,0.314003146,0.280210157,0.34877896,0.460770577,0.3515611771080229,,117.03076951790159,-12.21068329969421,114.29390420953023,22.733419813215733,36.8100719004856
2015,"TOR",162,2337,6231,232,891,852,88,0.091478093,0.184721553,0.188418951,0.297994269,0.268651297,0.339628732,0.457070248,0.3442048182403426,,117.35095865831218,10.971868723165244,135.86976351417917,6.5508818700909615,36.728456161555485
2017,"HOU",162,2313,6271,238,896,854,98,0.081167277,0.173337585,0.196043486,0.3089487,0.281767955,0.345544712,0.477811441,0.3486017445557222,,121.1465841589379,-0.39602599457521137,162.63953888873144,-0.948497551959008,36.69063838499065
1990,"OAK",162,1891,6240,164,733,693,141,0.104326923,0.158974358,0.137124977,0.280924855,0.253819252,0.336031078,0.390944229,0.32882251102683596,,109.3231890876359,4.288172532455064,70.62932910474473,84.96294282376766,36.43649018135922
1998,"NYY",162,1962,6444,207,965,907,153,0.101334574,0.159062693,0.172426014,0.31722595,0.287967393,0.364160948,0.460393407,0.36021681275252604,,116.2545292506336,3.131377208075719,138.44692881759642,6.855004262179136,36.05607249808074
2013,"BOS",162,2264,6382,178,853,819,123,0.091037292,0.204951425,0.168996638,0.329300118,0.277119093,0.349228832,0.446115731,0.346553859229544,,114.35377229450435,13.341635749675333,116.7481103401168,8.253607003367506,35.70423919538466
2003,"ATL",162,2362,6378,235,907,872,68,0.085449984,0.146284101,0.191887125,0.301691935,0.283597883,0.348804055,0.475485008,0.35389443895777617,,111.73956626404456,9.454572204384021,105.32042918970792,46.71717184782028,35.570241391910876
2010,"CIN",162,2370,6285,188,790,761,93,0.083054892,0.193794749,0.164366374,0.314231588,0.271554041,0.338478855,0.435920415,0.3396305082301122,,105.95488388440525,12.696219954639673,57.20479552844367,91.75951191596687,35.37890985321164
1993,"SFG",162,2229,6271,168,808,759,120,0.082283527,0.148301706,0.150980745,0.302949656,0.276048227,0.339763332,0.427028972,0.336517176332491,,107.43076842240862,-1.7129623689688742,55.585114391878946,75.01100324606523,35.275332670609636
2009,"TBR",162,2345,6223,199,803,765,194,0.103165675,0.19749317,0.176858294,0.302770286,0.262541193,0.342852533,0.439399487,0.3416259414729496,,108.8936168591547,21.557197276502848,90.48390003956145,44.46510316058993,35.269870355728656
